,CATEGORY,HEADLINE_CLEAN
79,OLAHRAGA,Iwan Bule Minta Peminat Kursi Ketum PSSI Sabar Sentilan tuh
80,OLAHRAGA,United 7 Deretan Pemakai Nomor 7 Jersey Manchester United
81,EKONOMI,Yen Ambruk Bank Sentral Jepang Ancangancang Beli Obligasi Darurat
82,OLAHRAGA,Man City Vs Fulham Dramatis Penalti Haaland Menangkan Citizens
83,OLAHRAGA,Pique Pensiun Umtiti Jangan Harap Diminta Barca Pulang
84,EKONOMI,Stafsus Erick Klarifikasi soal BSI Jadi BUMN Proses Masih Panjang
85,OLAHRAGA,Hasil Race F1 GP Meksiko 2022 Menang Lagi Max Verstappen Salip Rekor Michael Schumacher
86,EKONOMI,Uang ASN Madiun Dimakan Rayap hingga Rp35 Juta
87,EKONOMI,Rupiah Diprediksi Terus Tertekan Tembus di Rp15400 per Dolar AS
88,KESEHATAN,Apa Itu Benzena Pemicu Kanker yang Ditemukan di Produk Dry Shampoo
89,KESEHATAN,Kata Dokter soal Aturan Minum Obat Puyer Tak Boleh Sembarangan
90,OLAHRAGA,Jadi Pahlawan Kemenangan Manchester United atas West Ham Marcus Rashford Bisa Ikuti Jejak Cristiano Ronaldo
91,OLAHRAGA,Prediksi Skor Nottingham Forest vs Brentford di Liga Inggris 20222023 Ambisi Kedua Tim Bangkit dari Keterpurukan
92,EKONOMI,Suku Bunga BI Naik Warga 62 Harus Investasi Apa
93,EKONOMI,3 Cara Tracking Pencairan BPJS Ketenagakerjaan Online
94,OLAHRAGA,Dicuekin Cristiano Ronaldo saat Laga Manchester United vs West Ham Gary Neville Beri Respons Mengejutkan
95,EKONOMI,DPR Usul Bank Umum Wajib Kucurkan Kredit ke UMKM Minimal 20 Persen
96,EKONOMI,Rupiah Tembus Rp15302 per Dolar AS Imbas Inflasi RI Melesat
97,KESEHATAN,7 Ciri Ginjal yang Rusak Bukan Cuma Jarang Kencing
98,EKONOMI,Rupiah Menguat ke Rp15563 usai Imbal Hasil Obligasi AS Turun
99,EKONOMI,Dampak Penguatan Dolar AS Terhadap Rupiah
100,KESEHATAN,5 Sekutu Rusia yang Bikin AS Makin Pusing
101,KESEHATAN,Gagal Ginjal Akut Masyarakat Jangan Beli Obat Murah dan Dijual Bebas
102,OLAHRAGA,Liga 1 Rencananya Lanjut dengan Format Sentralisasi Tepatkah
103,EKONOMI,Jangan Sepelekan Covid19 Bisa Serang Jantung Hingga Ginjal
104,EKONOMI,Rupiah Terperosok ke Rp15368 per Dolar AS
105,KESEHATAN,7 Penyebab Sakit Tenggorokan Hatihati Bisa Jadi Tumor
106,EKONOMI,BankBank BUMN China Jual Dolar AS Demi Kerek Yuan
107,EKONOMI,RISingapura Perpanjang Kerja Sama Keuangan Bernilai Rp147 T
108,KESEHATAN,Tak Cuma GSpot ASpot Juga Ampuh Bikin Orgasme
109,OLAHRAGA,Keluhkan Performa Ferrari Charles Leclerc Merasa Balapan Sendirian di F1 GP Meksiko 2022
110,EKONOMI,INFOGRAFIS Efek Berantai Penguatan Dolar AS ke Ekonomi RI
111,EKONOMI,Rupiah Tersungkur ke Rp15597 Jelang Rilis Data Inflasi
112,KESEHATAN,RS Sardjito Telusuri Penyebab Gagal Ginjal Akut di Yogya Ini Hasilnya
113,KESEHATAN,5 Cara Mencegah Risiko Kanker Prostat pada Pria Perhatikan Gaya Hidup
114,OLAHRAGA,Susul Jonatan Christie Anthony Sinisuka Ginting Amankan Tiket BWF World Tour Finals 2022
115,KESEHATAN,Kasus Gagal Ginjal Akut Waspada Juga Interaksi Obat
116,EKONOMI,Pengamat Sepakat LPS Jamin Polis Asuransi dalam RUU PPSK
117,EKONOMI,Poundsterling Bergejolak Usai Rishi Sunak Jadi PM Inggris
118,OLAHRAGA,5 Pemain NBA yang Mahir Berbagai Bahasa Nomor 1 Legenda LA Lakers
119,OLAHRAGA,Hylo Open 2022 Gregoria Terhenti di Semifinal
120,EKONOMI,Rupiah Kembali Menguat ke Rp15200 per Dolar AS
121,OLAHRAGA,Jadwal Timnas Indonesia U20 Vs Moldova Malam Ini
122,OLAHRAGA,Jelang Chelsea vs Arsenal di Liga Inggris 20222023 Mikel Arteta Lempar Pujian ke PierreEmerick Aubameyang
123,KESEHATAN,Sering Menyipitkan Mata Picu Kulit Keriput Ini Kata Dokter
124,OLAHRAGA,MotoGP Valencia 2022 Francesco Bagnaia Dapat Suntikan Motivasi dari Pemain Juventus
125,KESEHATAN,Sederet Kondisi Mental Aaron Carter Sebelum Meninggal Termasuk Skizofrenia
126,EKONOMI,6 Daftar Lowongan Kerja Bank Indonesia dan Link Syarat Pendaftarannya
127,EKONOMI,Pengamat Khawatir Independensi Terancam Jika Politisi Jadi Gubernur BI
128,OLAHRAGA,Garnacho Oke di MU Ada Efek Messi
129,KESEHATAN,Hobi Tidur Miring Picu Keriput Dini Mitos atau Fakta
130,OLAHRAGA,Daftar Lengkap Pebalap MotoGP 2023
131,EKONOMI,DP Nol Persen KPR hingga Kredit Kendaraan Diperpanjang ke 2023
132,EKONOMI,Biang Kerok Poundsterling Jatuh Pangkas Pajak dan Subsidi Energi
133,OLAHRAGA,Soal Masa Depan Lewis Hamilton di Mercedes Toto Wolff Beri Bocoran
134,OLAHRAGA,Penyebab Kekalahan Jonatan Christie di Perempatfinal Hylo Open 2022
135,KESEHATAN,Jangan Sepelekan Covid19 Bisa Serang Jantung Hingga Ginjal
136,OLAHRAGA,Hasil NBA 20222023 Hari Ini  Milwaukee Bucks dan LA Lakers Kompak Menang Portland Trail Blazers Dihajar Memphis Grizzlies
137,KESEHATAN,Alasan Mengapa Meriang Bikin Badan Terasa Dingin Tapi Tidak Demam
138,EKONOMI,QRku BCA Dihapus per 1 November
139,EKONOMI,Rupiah Semringah ke Rp15585 per Dolar AS usai Yield Obligasi AS Turun
140,KESEHATAN,WHO 039Sentil039 8 Obat Sirup RI yang Tercemar EGDEG Diduga Picu Gagal Ginjal
141,OLAHRAGA,Seri Keenam ISSOM 2022 Belum Selesai 2 Pebalap Honda Sudah Juara
142,EKONOMI,BWI Uji Sertifikasi Ratusan Pengelola Wakaf
143,OLAHRAGA,herry ip
144,OLAHRAGA,Cetak Poin ke 25759 di NBA Kevin Durant Lewati Torehan Vince Carter
145,OLAHRAGA,Alami Penurunan Performa George Russel Tegaskan Ingin Benahi Ritme Balap
146,EKONOMI,Hari Ini QRku BCA Resmi Dihapus
147,EKONOMI,Rupiah Menguat ke Rp15463 per Dolar AS pada Sore Ini
148,OLAHRAGA,Hasil FP 2 MotoGP Valencia Luca Marini Tercepat Bagnaia Kesembilan
149,EKONOMI,Hasil Liga Inggris Mo Salah Gemilang Liverpool Ganyang Tottenham
150,EKONOMI,Mata Uang China Jatuh ke Level Terendah Sejak 2008
151,EKONOMI,Rupiah Keok Nyaris Sentuh Rp15650 per Dolar AS
152,OLAHRAGA,Raheem Sterling Bukan 039Anak Emas039 di Chelsea
153,KESEHATAN,Waspada Ciriciri Kanker Penis yang Jarang Disadari Pria Wajib Tahu
154,EKONOMI,Data Manufaktur AS Mengecewakan Rupiah Lesu di Rp15592
155,EKONOMI,Mengenal Namor Musuh Wakanda dari Talocan di Black Panther 2
156,EKONOMI,The Fed Makin Galak Suku Bunga Naik 75 Bps Tertinggi Sejak 2008
157,KESEHATAN,Gagal Ginjal Akut Gejala Penyebab dan Komplikasi
158,KESEHATAN,Studi Temukan Jam Makan yang Tepat Juga Bisa Menurunkan Gula Darah
159,OLAHRAGA,Hasil FP3 MotoGP Valencia 2022 Quartararo Keempat Bagnaia Ketujuh
160,KESEHATAN,Mengenal Namor Musuh Wakanda dari Talocan di Black Panther 2
161,EKONOMI,Rupiah Terperosok ke Rp15627 di Tengah Pelemahan Dolar
162,OLAHRAGA,Hasil Semifinal Hylo Open 2022 Anthony Sinisuka Ginting Rebut Tiket Final Usai Kalahkan Kidambi Srikanth 
163,OLAHRAGA,Berjaya di F1 2022 Lewis Hamilton Khawatir Red Bull Makin Menggila di Musim Depan
164,EKONOMI,3 Hari Usai Ditembak Eks PM Pakistan Keluar RS Pakai Kursi Roda
165,OLAHRAGA,Hasil Semifinal Hylo Open 2022 Hajar Unggulan Ke2 Rehan NaufalLisa Ayu Tembus Final
166,OLAHRAGA,Gagal Juara di F1 2022 Charles Leclerc Beberkan Masalah Utama Ferrari di Musim Ini
167,EKONOMI,Eks Gubernur Bank Sentral AS Ben Bernanke Raih Nobel Bidang Ekonomi
168,KESEHATAN,Lupakan Nasi Goreng Ini Menu Sarapan Sehat Hanya 3 Bahan
169,EKONOMI,Modal Asing Masuk ke RI Rp728 T dalam Sepekan
170,KESEHATAN,RS PON dan Transmedia Gelar Jalan Sehat Peringati Hari Stroke Sedunia
171,KESEHATAN,Kasus Covid Naik Omicron Subvarian XBB Disebut Bisa Kelabui Antibodi
172,KESEHATAN,Kebiasaan Tak Bisa Diam Ternyata Goyanggoyang Kaki Ada Manfaatnya
173,KESEHATAN,Belajar dari Itaewon Begini Cara Melakukan CPR untuk Henti Jantung
174,OLAHRAGA,Jadwal Semifinal Hylo Open 2022 Malam Ini 3 Wakil Indonesia Main
175,KESEHATAN,Pemerintah Kejar Pembangunan Rumah Ribuan Pekerja Konstruksi di IKN
176,OLAHRAGA,Sebastian Vettel Beri Tantangan Max Verstappen Rebut Kemenangan di 2 Balapan Akhir F1 2022
177,OLAHRAGA,Finis Ke5 di F1 GP Meksiko 2022 Carlos Sainz Jr Hasil Terbaik bagi Ferrari
178,OLAHRAGA,Jelang Persaingan Panas Perebutan Titel Juara Dunia di MotoGP Valencia 2022 Fabio Quartararo Justru Santai
179,OLAHRAGA,Stephen Curry Ungkap Penyebab Golden State Warriors Kalah dari Charlotte Hornets di NBA 20222023
180,EKONOMI,BTN Lepas Unit Usaha Syariah ke BSI Paling Lambat Juli 2023
181,EKONOMI,10 Negara yang Ikut Jejak The Fed Kerek Bunga Acuan demi Redam Inflasi
182,OLAHRAGA,Stoffel Vandoorne Resmi Gabung Aston Martin untuk F1 2023
183,EKONOMI,Credit Suisse Buyback Surat Utang Demi Tenangkan Investor
184,EKONOMI,Rupiah Terperosok ke Rp15646 di Tengah Pelemahan Dolar AS
185,EKONOMI,BIKemenkeu Rilis Panduan Penggunaan IndONIA
186,EKONOMI,DPR Usul Bentuk Badan Supervisi LPS dan OJK di RUU PPSK
187,KESEHATAN,Awas Nyeri Mendadak di Kaki Tanda Bahaya pada Jantung
188,EKONOMI,OJK Sanksi Wanaartha Life dan Kresna Life Kegiatan Usaha Dibatasi
189,OLAHRAGA,Meski Pukul Rekan Setim Draymond Green Dipercaya Mampu Kembalikan Kepercayaan Pemain Golden State Warriors
190,KESEHATAN,3 Hari Usai Ditembak Eks PM Pakistan Keluar RS Pakai Kursi Roda
191,KESEHATAN,Jadi Penyakit Paling Mematikan Kenali 4 Tandatanda Penyakit Jantung Koroner
192,OLAHRAGA,10 Data dan Fakta Chelsea Vs Arsenal
193,KESEHATAN,Survei Cawapres Sandiaga Uno Ungguli RK hingga AHY
194,OLAHRAGA,5 Atlet Dunia yang Jadi Mualaf dan Nikahi Perempuan Indonesia Nomor 1 Punya Jabatan Penting di Persik Kediri
195,KESEHATAN,Mirip dengan Flu Ini Beda Gejala Covid19 XBB dan Flu Biasa
196,KESEHATAN,Apakah Penyakit Bawaan Anak Bikin Gagal Ginjal Akut Lebih Parah
197,KESEHATAN,Lakukan Deteksi Dini Kanker Payudara Peluang Sembuh Capai 90 Persen
198,EKONOMI,Rupiah Makin Payah Dekati Rp15350 Ancaman Resesi Kian Nyata
199,EKONOMI,Tuntut Gaji Naik Ratusan Ribu Perawat di Inggris Siap Mogok Kerja
200,KESEHATAN,Terapi Ini Bisa Dilakukan untuk Pasien Pasca Stroke
201,OLAHRAGA,5 Rekan Tim di NBA yang Dulunya Musuh Bebuyutan Nomor 1 Berbuah Gelar Juara 
202,EKONOMI,BTN Incar Dana Segar Rp413 T dari Rights Issue
203,OLAHRAGA,Jelang Chelsea vs Arsenal di Liga Inggris 20222023 Raheem Sterling Serius Ingin Cetak Gol ke Gawang The Gunners
204,EKONOMI,PKB Buka Suara soal Isu Dekati PKS Gabung Koalisi Bareng Gerindra
205,EKONOMI,Ekonom Wantiwanti Soal Arus Modal Keluar di Tengah Ancaman Resesi
206,KESEHATAN,Bagaimana Etilen Glikol Racuni Anak Hingga Bikin Gagal Ginjal Akut
207,OLAHRAGA,6 Pemain NBA yang Dapat Sponsor dari Adidas di Musim 20222023 Nomor 1 Bintang Philadelphia Sixers
208,EKONOMI,Kecelakaan Pesawat Jatuh ke Danau di Tanzania 19 Tewas
209,KESEHATAN,Bungkam China RehanLisa Juara Hylo Open 2022
210,KESEHATAN,Varian XBB Hingga Vaksinasi Lambat Picu Lonjakan Angka Covid19 di RI
211,OLAHRAGA,Respons Sarkasme Guardiola atas Komentar Ibrahimovic soal Haaland
212,KESEHATAN,Cara Perbaiki Jam Tidur untuk Si Tukang Begadang
213,EKONOMI,Heru Mundur dari Kursi Komisaris BTN Sebelum Dilantik Gantikan Anies
214,EKONOMI,Mau Cat Rambut Warna AshGrey Pikir Dulu Sebelum Bilang Yes
215,EKONOMI,Rupiah Menguat Tipis ke Rp15554 per Dolar AS Sore Ini
216,KESEHATAN,FOTO Peluh Bidan Berikan Layanan Imunisasi Masyarakat Badui
217,EKONOMI,Pemerintah Kejar Pembangunan Rumah Ribuan Pekerja Konstruksi di IKN
218,KESEHATAN,Anak Tibatiba Demam Kapan Sebenernya Perlu Diberi Obat
219,OLAHRAGA,Surabaya Jadi Lokasi Final SEA Woman Basketball League 2022 Perbasi Ungkap Alasannya
220,EKONOMI,Ancaman Resesi Ekonomi Dunia Jungkalkan Rupiah ke Rp15470
221,OLAHRAGA,Jelang Manchester City vs Fulham di Liga Inggris 20222023 The Cottagers Takut Erling Haaland Tampil
222,KESEHATAN,Kesehatan Mental Jadi Isu yang Banyak Disorot Anak Muda Zaman Now
223,OLAHRAGA,F1 2022 Mercedes Berambisi Asapi Ferrari di Klasemen Akhir Kontruktor 
224,KESEHATAN,Cukai Rokok Elektrik Naik Lihat Lagi Efek Ngevape ke Paruparu
225,OLAHRAGA,Segel Gelar Juara Konstruktor F1 2022 Christian Horner Ini Penting untuk Red Bull Racing
226,OLAHRAGA,Mandzukic Juventus Jeblok Bukan Sepenuhnya Salah Allegri
227,EKONOMI,BPJamsostek Perluas Kemudahan Daftar dan Bayar Lewat Bank Nagari
228,EKONOMI,Suku Bunga BI Naik Apa Kabar Bunga Deposito Bank
229,OLAHRAGA,Hasil Kualifikasi F1 GP Meksiko 2022 Max Verstappen Rebut iPole Positioni
230,EKONOMI,Imbal Hasil Obligasi AS Naik Rupiah Bangkit ke Rp15262 per Dolar AS
231,KESEHATAN,Mengenal Bipolar Kondisi Kejiwaan yang Diidap Aaron Carter Sebelum Meninggal
232,EKONOMI,Satgas Tutup 18 Entitas Investasi Bodong
233,KESEHATAN,Uji Coba Ganjil Genap di Bali Jelang KTT G20 Pelanggar Tak Disanksi
234,OLAHRAGA,Arsenal Dijagokan Juara Liga Inggris 20222023 oleh Pelatih FC Zurich 
235,EKONOMI,Tiket KA untuk Libur Natal dan Tahun Baru Dijual Mulai Senin Besok
236,EKONOMI,Rupiah Lunglai ke Rp15361 per Dolar AS Sore Ini
237,EKONOMI,Investor Wait and See Rupiah Lesu ke Rp15567 per Dolar AS
238,OLAHRAGA,5 Pembelian Paling Mahal Liga Inggris di Musim Panas 2022 Nomor 1 Amunisi Muda Manchester United
239,KESEHATAN,Video Syur 039Kebaya Merah039 Bisa Saja Fetish dr Boyke Jelaskan Tandatandanya
240,OLAHRAGA,Real Madrid Mau Bellingham tapi Nggak Akan Kalap Keluar Uang
241,OLAHRAGA,4 Pemain Liga Inggris yang Tampil Gemilang Selama Oktober 2022 Nomor 1 Kukuh di Puncak Daftar Top Skor
242,EKONOMI,Tips Hidup Hemat Saat Triple Crises Menghantui
243,OLAHRAGA,Ayo Jadi Juru Selamat Juventus Chiesa
244,OLAHRAGA,Ben Chilwell Dipastikan Absen di Piala Dunia 2022
245,EKONOMI,BCA Resmi Hapus QRku Mulai Besok 1 November 2022
246,OLAHRAGA,Mars Perindo Versi Terbaru Tunjukkan Keindahan amp Keberagaman Indonesia
247,OLAHRAGA,Valentino Rossi Saksikan Langsung Latihan Bebas MotoGP Valencia 2022 Netizen Kangen Rossi Balapan Lagi
248,EKONOMI,Rupiah Lunglai di Rp15737 per Dolar AS di Akhir Pekan
249,EKONOMI,Rupiah Menguat ke Rp15464 Jelang Pengumuman Suku Bunga Acuan BI
250,OLAHRAGA,Cara Melakukan LayUp saat Bermain Bola Basket
251,OLAHRAGA,Chelsea vs Arsenal Mikel Arteta Waspadai Kejutan dari Graham Potter
252,KESEHATAN,Bercitacita Jadi Astronaut Sekolah Tinggi Jadi Syarat Mutlak
253,EKONOMI,Imbal Hasil Obligasi AS Sentuh 4 Persen Rupiah Loyo ke Rp15266
254,KESEHATAN,Gagal Ginjal Akut 4 Jenis Zat Ini Dilarang BPOM Dipakai Untuk Obat
255,KESEHATAN,Cemaran Etilen Glikol di Obat Yarindo 100 Kali Lipat dari Batas Aman
256,EKONOMI,PBB Minta Bankbank Sentral Tahan Suku Bunga Demi Hindari Resesi
257,KESEHATAN,Makan Ubi Bikin Kentut Terus Ini Saran Dokter
258,KESEHATAN,Disebut Bukan Obat Gagal Ginjal Akut Lantas Apa Itu Fomepizole
259,EKONOMI,Rupiah Kian Terpuruk ke Rp15622 Jelang Rapat The Fed
260,KESEHATAN,Khasiat Daun Sirsak Turunkan Kolesterol Hingga Bantu Obati Kanker
261,EKONOMI,Yuan Merosot Terus Menerus Bank Sentral China Klaim Masih Stabil
262,EKONOMI,Credit Suisse Bakal PHK 9000 Pekerja pada 2025
263,OLAHRAGA,Ditabrak di Latihan Bebas 2 MotoGP Valencia 2022 Marc Marquez Kasih Peringatan kepada Alex Rins
264,OLAHRAGA,Hasil Lengkap Semifinal Hylo Open 2022 Anthony Ginting dan Rehan NaufalLisa Ayu Melaju ke Final
265,OLAHRAGA,Gerard Pique dan 30 Piala di Barcelona
266,KESEHATAN,Cara Menurunkan Demam Kompres Hangat atau Dingin
267,KESEHATAN,FOTO Vaksin Langka saat Kasus Kolera Melonjak di Seluruh Dunia
268,EKONOMI,Survei BI Kinerja Penjualan Eceran Naik pada September 2022
269,OLAHRAGA,Hasil Latihan Bebas 4 MotoGP Valencia 2022 Miguel Oliveira Amankan Posisi Pertama Marc Marquez Tercecer Ke15
270,OLAHRAGA,Hertha Berlin Vs Bayern Munich Sengit Die Roten Menang Tipis
271,KESEHATAN,Ini 4 Ciriciri Air yang Terkontaminasi Jangan Diminum
272,EKONOMI,Pelemahan Dolar AS Angkat Rupiah ke Rp15582
273,OLAHRAGA,Segininya Ibrahimovic Puji Giroud
274,EKONOMI,BI Pangkas Proyeksi Pertumbuhan RI 2023 Jadi Tinggal 53 Persen
275,KESEHATAN,5 Kebiasaan Penyebab Sariawan Bukan Kurang Makan Buah
276,EKONOMI,Rupiah Tembus Rp15318 Sore Ini Tertinggi Sejak April 2020
277,KESEHATAN,Gerhana Bulan Total 8 November Butuh Alat Khusus Buat Saksikan
278,EKONOMI,Investor Naik 100 Ajaib Komitmen Tingkatkan Layanan Keuangan Modern
279,EKONOMI,5 Dampak Kenaikan Suku Bunga BI yang Bikin Beban Hidup Makin Berat
280,EKONOMI,Moodys Pangkas Outlook Peringkat Utang Inggris ke Negatif
281,KESEHATAN,3 Cara Menghilangkan Panu di Wajah yang Efektif
282,EKONOMI,Modal Asing Hengkang dari RI Rp422 T Selama Sepekan
283,OLAHRAGA,Fred Hubungan Ronaldo dengan Ten Hag Kini
284,OLAHRAGA,tragedi kanjuruhan
285,EKONOMI,BPJS Kesehatan Tanggung Biaya Berobat Gangguan Ginjal Akut
286,OLAHRAGA,5 Pesepakbola Didikan Akademi Manchester City yang Pernah Juara Liga Inggris di Klub Lain Nomor 1 Legenda Tim Rival
